vm_id,cluster_id,host_id
vm_00000,cluster_00013,host_00220
vm_00001,cluster_00006,host_00107
vm_00002,cluster_00019,host_00308
vm_00003,cluster_00002,host_00046
vm_00004,cluster_00009,host_00148
vm_00005,cluster_00006,host_00104
vm_00006,cluster_00015,host_00254
vm_00007,cluster_00017,host_00281
vm_00008,cluster_00012,host_00194
vm_00009,cluster_00009,host_00146
vm_00010,cluster_00007,host_00119
vm_00011,cluster_00002,host_00042
vm_00012,cluster_00010,host_00161
vm_00013,cluster_00007,host_00127
vm_00014,cluster_00010,host_00160
vm_00015,cluster_00019,host_00311
vm_00016,cluster_00001,host_00024
vm_00017,cluster_00017,host_00284
vm_00018,cluster_00017,host_00274
vm_00019,cluster_00003,host_00061
vm_00020,cluster_00009,host_00153
vm_00021,cluster_00014,host_00234
vm_00022,cluster_00019,host_00305
vm_00023,cluster_00018,host_00299
vm_00024,cluster_00004,host_00073
vm_00025,cluster_00019,host_00306
vm_00026,cluster_00011,host_00191
vm_00027,cluster_00003,host_00054
vm_00028,cluster_00016,host_00269
vm_00029,cluster_00005,host_00094
vm_00030,cluster_00008,host_00128
vm_00031,cluster_00002,host_00040
vm_00032,cluster_00015,host_00240
vm_00033,cluster_00004,host_00078
vm_00034,cluster_00012,host_00192
vm_00035,cluster_00005,host_00088
vm_00036,cluster_00011,host_00191
vm_00037,cluster_00015,host_00242
vm_00038,cluster_00004,host_00067
vm_00039,cluster_00018,host_00290
vm_00040,cluster_00018,host_00288
vm_00041,cluster_00014,host_00226
vm_00042,cluster_00018,host_00295
vm_00043,cluster_00006,host_00099
vm_00044,cluster_00016,host_00271
vm_00045,cluster_00015,host_00248
vm_00046,cluster_00016,host_00268
vm_00047,cluster_00015,host_00251
vm_00048,cluster_00019,host_00316
vm_00049,cluster_00018,host_00299
vm_00050,cluster_00009,host_00148
vm_00051,cluster_00019,host_00316
vm_00052,cluster_00001,host_00020
vm_00053,cluster_00004,host_00074
vm_00054,cluster_00002,host_00045
vm_00055,cluster_00010,host_00165
vm_00056,cluster_00018,host_00292
vm_00057,cluster_00001,host_00030
vm_00058,cluster_00004,host_00079
vm_00059,cluster_00010,host_00171
vm_00060,cluster_00009,host_00159
vm_00061,cluster_00019,host_00315
vm_00062,cluster_00006,host_00107
vm_00063,cluster_00004,host_00065
vm_00064,cluster_00014,host_00227
vm_00065,cluster_00016,host_00269
vm_00066,cluster_00013,host_00223
vm_00067,cluster_00018,host_00293
vm_00068,cluster_00015,host_00240
vm_00069,cluster_00003,host_00054
vm_00070,cluster_00015,host_00241
vm_00071,cluster_00017,host_00272
vm_00072,cluster_00014,host_00225
vm_00073,cluster_00014,host_00227
vm_00074,cluster_00019,host_00306
vm_00075,cluster_00019,host_00319
vm_00076,cluster_00001,host_00027
vm_00077,cluster_00004,host_00065
vm_00078,cluster_00008,host_00137
vm_00079,cluster_00007,host_00121
vm_00080,cluster_00004,host_00078
vm_00081,cluster_00018,host_00291
vm_00082,cluster_00016,host_00267
vm_00083,cluster_00011,host_00189
vm_00084,cluster_00013,host_00213
vm_00085,cluster_00003,host_00054
vm_00086,cluster_00018,host_00300
vm_00087,cluster_00015,host_00241
vm_00088,cluster_00001,host_00016
vm_00089,cluster_00007,host_00118
vm_00090,cluster_00005,host_00083
vm_00091,cluster_00017,host_00286
vm_00092,cluster_00010,host_00167
vm_00093,cluster_00016,host_00262
vm_00094,cluster_00011,host_00176
vm_00095,cluster_00004,host_00075
vm_00096,cluster_00009,host_00144
vm_00097,cluster_00016,host_00271
vm_00098,cluster_00005,host_00086
vm_00099,cluster_00002,host_00041
vm_00100,cluster_00006,host_00103
vm_00101,cluster_00005,host_00084
vm_00102,cluster_00001,host_00021
vm_00103,cluster_00017,host_00287
vm_00104,cluster_00015,host_00244
vm_00105,cluster_00004,host_00075
vm_00106,cluster_00014,host_00236
vm_00107,cluster_00003,host_00052
vm_00108,cluster_00013,host_00211
vm_00109,cluster_00012,host_00200
vm_00110,cluster_00008,host_00140
vm_00111,cluster_00013,host_00218
vm_00112,cluster_00009,host_00149
vm_00113,cluster_00006,host_00111
vm_00114,cluster_00019,host_00310
vm_00115,cluster_00002,host_00045
vm_00116,cluster_00016,host_00264
vm_00117,cluster_00009,host_00157
vm_00118,cluster_00007,host_00119
vm_00119,cluster_00005,host_00087
vm_00120,cluster_00002,host_00042
vm_00121,cluster_00005,host_00081
vm_00122,cluster_00004,host_00065
vm_00123,cluster_00010,host_00164
vm_00124,cluster_00001,host_00018
vm_00125,cluster_00002,host_00044
vm_00126,cluster_00016,host_00261
vm_00127,cluster_00001,host_00024
vm_00128,cluster_00008,host_00138
vm_00129,cluster_00007,host_00114
vm_00130,cluster_00003,host_00054
vm_00131,cluster_00006,host_00105
vm_00132,cluster_00008,host_00143
vm_00133,cluster_00019,host_00318
vm_00134,cluster_00001,host_00024
vm_00135,cluster_00010,host_00161
vm_00136,cluster_00001,host_00016
vm_00137,cluster_00001,host_00025
vm_00138,cluster_00007,host_00114
vm_00139,cluster_00001,host_00022
vm_00140,cluster_00017,host_00286
vm_00141,cluster_00000,host_00015
vm_00142,cluster_00001,host_00022
vm_00143,cluster_00017,host_00275
vm_00144,cluster_00017,host_00281
vm_00145,cluster_00016,host_00265
vm_00146,cluster_00006,host_00098
vm_00147,cluster_00006,host_00107
vm_00148,cluster_00009,host_00152
vm_00149,cluster_00009,host_00156
vm_00150,cluster_00003,host_00059
vm_00151,cluster_00008,host_00130
vm_00152,cluster_00016,host_00270
vm_00153,cluster_00003,host_00050
vm_00154,cluster_00006,host_00096
vm_00155,cluster_00017,host_00273
vm_00156,cluster_00018,host_00299
vm_00157,cluster_00004,host_00074
vm_00158,cluster_00016,host_00261
vm_00159,cluster_00017,host_00281
vm_00160,cluster_00019,host_00308
vm_00161,cluster_00017,host_00287
vm_00162,cluster_00000,host_00007
vm_00163,cluster_00000,host_00008
vm_00164,cluster_00003,host_00052
vm_00165,cluster_00001,host_00024
vm_00166,cluster_00004,host_00075
vm_00167,cluster_00002,host_00045
vm_00168,cluster_00009,host_00151
vm_00169,cluster_00019,host_00307
vm_00170,cluster_00009,host_00156
vm_00171,cluster_00014,host_00227
vm_00172,cluster_00016,host_00258
vm_00173,cluster_00019,host_00314
vm_00174,cluster_00002,host_00038
vm_00175,cluster_00001,host_00025
vm_00176,cluster_00004,host_00069
vm_00177,cluster_00011,host_00176
vm_00178,cluster_00004,host_00077
vm_00179,cluster_00005,host_00095
vm_00180,cluster_00017,host_00285
vm_00181,cluster_00004,host_00071
vm_00182,cluster_00016,host_00268
vm_00183,cluster_00014,host_00239
vm_00184,cluster_00007,host_00116
vm_00185,cluster_00003,host_00058
vm_00186,cluster_00019,host_00318
vm_00187,cluster_00015,host_00247
vm_00188,cluster_00016,host_00266
vm_00189,cluster_00012,host_00205
vm_00190,cluster_00002,host_00038
vm_00191,cluster_00009,host_00146
vm_00192,cluster_00010,host_00169
vm_00193,cluster_00012,host_00196
vm_00194,cluster_00007,host_00127
vm_00195,cluster_00017,host_00285
vm_00196,cluster_00015,host_00246
vm_00197,cluster_00015,host_00240
vm_00198,cluster_00003,host_00049
vm_00199,cluster_00007,host_00123
vm_00200,cluster_00013,host_00210
vm_00201,cluster_00004,host_00067
vm_00202,cluster_00009,host_00158
vm_00203,cluster_00011,host_00187
vm_00204,cluster_00013,host_00221
vm_00205,cluster_00013,host_00212
vm_00206,cluster_00002,host_00041
vm_00207,cluster_00011,host_00190
vm_00208,cluster_00009,host_00158
vm_00209,cluster_00017,host_00280
vm_00210,cluster_00010,host_00163
