vm_id,cores,mem
vm_00000,4,8192
vm_00001,2,8192
vm_00002,2,8192
vm_00003,2,4096
vm_00004,2,8192
vm_00005,4,32768
vm_00006,2,8192
vm_00007,4,8192
vm_00008,8,32768
vm_00009,2,4096
vm_00010,2,8192
vm_00011,4,32768
vm_00012,8,32768
vm_00013,2,8192
vm_00014,2,8192
vm_00015,2,8192
vm_00016,2,4096
vm_00017,2,2048
vm_00018,2,4096
vm_00019,2,8192
vm_00020,4,32768
vm_00021,2,8192
vm_00022,2,8192
vm_00023,4,32768
vm_00024,2,4096
vm_00025,2,8192
vm_00026,2,2048
vm_00027,4,32768
vm_00028,4,65536
vm_00029,2,8192
vm_00030,4,8192
vm_00031,2,2048
vm_00032,2,2048
vm_00033,4,8192
vm_00034,4,32768
vm_00035,2,4096
vm_00036,2,8192
vm_00037,2,8192
vm_00038,4,32768
vm_00039,4,32768
vm_00040,4,8192
vm_00041,2,8192
vm_00042,2,2048
vm_00043,4,32768
vm_00044,4,65536
vm_00045,4,8192
vm_00046,4,32768
vm_00047,2,8192
vm_00048,4,8192
vm_00049,2,8192
vm_00050,8,32768
vm_00051,2,8192
vm_00052,2,4096
vm_00053,4,32768
vm_00054,2,8192
vm_00055,4,32768
vm_00056,4,65536
vm_00057,2,8192
vm_00058,2,8192
vm_00059,2,4096
vm_00060,2,8192
vm_00061,2,2048
vm_00062,8,32768
vm_00063,4,65536
vm_00064,2,8192
vm_00065,4,32768
vm_00066,8,32768
vm_00067,2,2048
vm_00068,2,8192
vm_00069,2,4096
vm_00070,4,8192
vm_00071,2,4096
vm_00072,2,2048
vm_00073,2,8192
vm_00074,4,32768
vm_00075,8,32768
vm_00076,4,32768
vm_00077,2,4096
vm_00078,2,2048
vm_00079,2,8192
vm_00080,4,8192
vm_00081,8,32768
vm_00082,2,8192
vm_00083,2,4096
vm_00084,2,8192
vm_00085,4,32768
vm_00086,4,32768
vm_00087,2,8192
vm_00088,4,32768
vm_00089,2,4096
vm_00090,2,8192
vm_00091,2,8192
vm_00092,4,65536
vm_00093,4,32768
vm_00094,2,2048
vm_00095,4,32768
vm_00096,2,8192
vm_00097,8,32768
vm_00098,2,8192
vm_00099,2,2048
vm_00100,2,8192
vm_00101,2,8192
vm_00102,2,8192
vm_00103,2,2048
vm_00104,4,65536
vm_00105,2,8192
vm_00106,4,8192
vm_00107,4,32768
vm_00108,2,2048
vm_00109,4,32768
vm_00110,4,32768
vm_00111,8,32768
vm_00112,4,32768
vm_00113,2,8192
vm_00114,4,65536
vm_00115,2,4096
vm_00116,2,8192
vm_00117,2,4096
vm_00118,4,32768
vm_00119,8,32768
vm_00120,4,32768
vm_00121,2,4096
vm_00122,2,4096
vm_00123,2,2048
vm_00124,2,8192
vm_00125,2,8192
vm_00126,2,2048
vm_00127,4,32768
vm_00128,2,2048
vm_00129,4,8192
vm_00130,2,4096
vm_00131,4,32768
vm_00132,4,8192
vm_00133,2,8192
vm_00134,2,8192
vm_00135,2,2048
vm_00136,2,4096
vm_00137,8,32768
vm_00138,4,32768
vm_00139,2,4096
vm_00140,2,4096
vm_00141,2,4096
vm_00142,4,32768
vm_00143,2,8192
vm_00144,2,2048
vm_00145,4,32768
vm_00146,2,4096
vm_00147,4,32768
vm_00148,4,32768
vm_00149,2,8192
vm_00150,2,8192
vm_00151,2,8192
vm_00152,2,4096
vm_00153,2,4096
vm_00154,2,8192
vm_00155,4,8192
vm_00156,2,8192
vm_00157,2,4096
vm_00158,4,32768
vm_00159,4,32768
vm_00160,2,8192
